"Name","Fulladdress","Street","Municipality","Categories","Phone","Phones","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening hours","Featured image","Cid","Place Id"
"Flandrischer Hof","Flandrische Str. 3-11, 50674 Köln, Alemania","Flandrische Str. 3-11","50674 Köln","Hotel","+49 221 20360","0221 20360, +49 221 20360",1161,4.1,"https://search.google.com/local/reviews?placeid=ChIJraL4swYlv0cR_BHSxmivk10&q=hotel+en+colonia&authuser=0&hl=es&gl=ES","https://www.google.com/maps?cid=6742925931650879996",50.9371152,6.9381965999999995,"http://www.flandrischerhof.de/","flandrischerhof.de","","https://lh5.googleusercontent.com/p/AF1QipNgmBGSg4MO96C45IHILZWtBM2gUNx0Po3ZAI7t=w80-h106-k-no","6742925931650879996","ChIJraL4swYlv0cR_BHSxmivk10"
"Hotel Monte Christo","Große Sandkaul 24, 50667 Köln, Alemania","Große Sandkaul 24","50667 Köln","Hotel,Recinto para eventos,Salón para eventos","+49 221 4922347","0221 4922347, +49 221 4922347",103,4.2,"https://search.google.com/local/reviews?placeid=ChIJ_-Oc_LElv0cRKB2zb5Vz7SU&q=hotel+en+colonia&authuser=0&hl=es&gl=ES","https://www.google.com/maps?cid=2732967634545089832",50.936603,6.957078,"http://www.hotel-monte-christo.com/","hotel-monte-christo.com","","","2732967634545089832","ChIJ_-Oc_LElv0cRKB2zb5Vz7SU"
"Novotel Koeln City","Bayenstraße 51, 50678 Köln, Alemania","Bayenstraße 51","50678 Köln","Hotel","+49 221 801470","0221 801470, +49 221 801470",1672,4.3,"https://search.google.com/local/reviews?placeid=ChIJzeN2sUskv0cRNU1FMyj-DW8&q=hotel+en+colonia&authuser=0&hl=es&gl=ES","https://www.google.com/maps?cid=8002331561519566133",50.926732099999995,6.963597099999999,"https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=3127&merchantid=seo-maps-DE-3127&sourceid=aw-cen&utm_medium=seo+maps&utm_source=google+Maps&utm_campaign=seo+maps&y_source=1_MTUzNjI1NTYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","all.accor.com","","https://lh5.googleusercontent.com/p/AF1QipMM9Vd0Vx6Ye4kSE2D8jwxfo-KWnT3wZ5jCLmu1=w135-h92-k-no","8002331561519566133","ChIJzeN2sUskv0cRNU1FMyj-DW8"
"Hotel NH Köln Altstadt","Holzmarkt 47, 50676 Köln, Alemania","Holzmarkt 47","50676 Köln","Hotel","+49 221 2722880","0221 2722880, +49 221 2722880",1252,4.1,"https://search.google.com/local/reviews?placeid=ChIJxz7zpLQlv0cRFKyS9KLF2AU&q=hotel+en+colonia&authuser=0&hl=es&gl=ES","https://www.google.com/maps?cid=421303868837768212",50.930726,6.962362,"https://www.nh-hotels.com/hotel/nh-koeln-altstadt?utm_campaign=local-gmb&utm_medium=organic_search&utm_source=google_gmb","nh-hotels.com","","https://lh5.googleusercontent.com/p/AF1QipOOr9y6DzXODHNEJQZI4LohZMilMXVV7M8MNntX=w137-h92-k-no","421303868837768212","ChIJxz7zpLQlv0cRFKyS9KLF2AU"
"Eden Hotel Früh Am Dom","Sporergasse 1, 50667 Köln, Alemania","Sporergasse 1","50667 Köln","Hotel","+49 221 272920","0221 272920, +49 221 272920",560,4.3,"https://search.google.com/local/reviews?placeid=ChIJLz2cNqUlv0cROub5tPoYlYs&q=hotel+en+colonia&authuser=0&hl=es&gl=ES","https://www.google.com/maps?cid=10057972807859037754",50.9397667,6.9574127,"https://www.hotel-eden.de/","hotel-eden.de","","https://lh5.googleusercontent.com/p/AF1QipNzIHuBxZeP0-YFbbyuHz22IQa_8VRWMB1gpEA=w80-h119-k-no","10057972807859037754","ChIJLz2cNqUlv0cROub5tPoYlYs"
"Hotel NH Collection Köln Mediapark","Im Mediapark 8B, 50670 Köln, Alemania","Im Mediapark 8B","50670 Köln","Hotel","+49 221 27150","0221 27150, +49 221 27150",1660,4.4,"https://search.google.com/local/reviews?placeid=ChIJcRtOHwolv0cRtnbvQJreg8Y&q=hotel+en+colonia&authuser=0&hl=es&gl=ES","https://www.google.com/maps?cid=14304521595554592438",50.9478729,6.9426236,"https://www.nh-hotels.com/hotel/nh-collection-koeln-mediapark?utm_campaign=local-gmb&utm_medium=organic_search&utm_source=google_gmb","nh-hotels.com","","https://lh5.googleusercontent.com/p/AF1QipMBDzP3-NHHA3BdfFWeoNVrSvIBM-Vgd0MnwIgk=w137-h92-k-no","14304521595554592438","ChIJcRtOHwolv0cRtnbvQJreg8Y"
"Das kleine Stapelhäuschen Hotel","Fischmarkt 1-3, 50667 Köln, Alemania","Fischmarkt 1-3","50667 Köln","Hotel","+49 1573 5990436","01573 5990436, +49 1573 5990436",292,4,"https://search.google.com/local/reviews?placeid=ChIJ8WHk2LAlv0cRBILv7nuXd4E&q=hotel+en+colonia&authuser=0&hl=es&gl=ES","https://www.google.com/maps?cid=9329091711666717188",50.938302099999994,6.962012199999999,"https://www.kleines-stapelhaeuschen.de/de/","kleines-stapelhaeuschen.de","","","9329091711666717188","ChIJ8WHk2LAlv0cRBILv7nuXd4E"
"Hotel Casa Colonia","Machabäerstraße 63, 50668 Köln, Alemania","Machabäerstraße 63","50668 Köln","Hotel","+49 221 160600","0221 160600, +49 221 160600",148,4.6,"https://search.google.com/local/reviews?placeid=ChIJSfx9fbslv0cRSPCWc6VKA1s&q=hotel+en+colonia&authuser=0&hl=es&gl=ES","https://www.google.com/maps?cid=6558167556850905160",50.9460784,6.9616405,"http://www.casa-colonia.de/","casa-colonia.de","","https://lh5.googleusercontent.com/p/AF1QipPcV6Y3NM9G7lEilJWUI7fPBanJSSsu7lQFOIk5=w80-h92-k-no","6558167556850905160","ChIJSfx9fbslv0cRSPCWc6VKA1s"
"Hotel Lyskirchen","Filzengraben 26, 50676 Köln, Alemania","Filzengraben 26","50676 Köln","Hotel","+49 221 20970","0221 20970, +49 221 20970",928,4.3,"https://search.google.com/local/reviews?placeid=ChIJU_-kiLMlv0cR0mh1PDQhymw&q=hotel+en+colonia&authuser=0&hl=es&gl=ES","https://www.google.com/maps?cid=7839114609628113106",50.933665,6.9623466999999994,"https://www.hotel-lyskirchen.de/?utm_source=GoogleMyBusiness&utm_medium=ButtonWebsite&utm_campaign=GoogleMyBusinessReferral","hotel-lyskirchen.de","","https://lh5.googleusercontent.com/p/AF1QipNsl4BxhHWlKaU1TQPtD5r6ruivYhz0iYRiZlqp=w151-h92-k-no","7839114609628113106","ChIJU_-kiLMlv0cR0mh1PDQhymw"
"Hotel Brandenburger Hof","Brandenburger Str. 2, 50668 Köln, Alemania","Brandenburger Str. 2","50668 Köln","Hotel","+49 221 122889","0221 122889, +49 221 122889",177,4,"https://search.google.com/local/reviews?placeid=ChIJqQd9Nbslv0cRlImF0OHnIZ8&q=hotel+en+colonia&authuser=0&hl=es&gl=ES","https://www.google.com/maps?cid=11466701083314063764",50.944873799999996,6.9593639,"https://www.brandenburgerhof.de/","brandenburgerhof.de","","https://lh5.googleusercontent.com/p/AF1QipMwPLUfUzGrpzdXZyQH-FGqwhAlJmNm0lJ8Wodo=w138-h92-k-no","11466701083314063764","ChIJqQd9Nbslv0cRlImF0OHnIZ8"
